epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.9816,2.6346,1.65142,1.52461,0.48327,0.17592,0.2767,0.12122,2.11005,0.99101,1.1143,0.00331989,0.00331989,0.00331989
2,147.166,2.16036,0.99787,1.07454,0.5061,0.196,0.31356,0.12919,2.19038,1.01965,1.02299,0.00658736,0.00658736,0.00658736
3,213.208,2.1835,1.00629,1.03482,0.49482,0.19955,0.30753,0.12459,2.20524,1.04689,1.04113,0.00978883,0.00978883,0.00978883
4,278.742,2.1301,1.00402,1.01126,0.51361,0.22229,0.34373,0.15023,2.12825,1.03814,0.99791,0.009703,0.009703,0.009703
5,344.671,2.04107,0.97666,0.99184,0.5195,0.24225,0.33685,0.15258,2.0594,inf,1.0181,0.009604,0.009604,0.009604
6,410.588,1.95647,0.94353,0.9762,0.56895,0.26407,0.40138,0.19106,1.98267,0.93681,0.97568,0.009505,0.009505,0.009505
7,476.244,1.90167,0.92611,0.9652,0.53838,0.24734,0.37794,0.17484,2.02262,0.96947,0.99098,0.009406,0.009406,0.009406
8,541.68,1.85158,0.90791,0.95837,0.58054,0.27114,0.41219,0.2003,1.89264,0.93173,0.96057,0.009307,0.009307,0.009307
9,607.533,1.82339,0.90007,0.95511,0.55359,0.25975,0.39877,0.18698,1.97022,0.9465,0.97479,0.009208,0.009208,0.009208
10,672.839,1.79822,0.89348,0.95154,0.54494,0.26229,0.39993,0.19768,1.9525,0.95643,0.96389,0.009109,0.009109,0.009109
11,737.541,1.78046,0.88553,0.94674,0.59892,0.28497,0.43087,0.21462,1.83541,0.89146,0.94449,0.00901,0.00901,0.00901
12,802.918,1.7657,0.88042,0.94478,0.55471,0.26376,0.4018,0.18638,1.95661,0.94463,0.97432,0.008911,0.008911,0.008911
13,867.804,1.74485,0.87551,0.94412,0.6044,0.28644,0.43594,0.21541,1.83777,0.88828,0.9477,0.008812,0.008812,0.008812
14,933.139,1.73147,0.86927,0.93997,0.60231,0.28623,0.43696,0.22352,1.77457,0.86908,0.93317,0.008713,0.008713,0.008713
15,998.588,1.71342,0.86122,0.9366,0.61555,0.29142,0.44867,0.23415,1.74919,0.85708,0.93567,0.008614,0.008614,0.008614
16,1064.01,1.69797,0.85686,0.93642,0.60019,0.28968,0.44514,0.23457,1.71986,0.86867,0.92414,0.008515,0.008515,0.008515
17,1129.22,1.68638,0.85129,0.93439,0.61453,0.29083,0.44704,0.22865,1.78429,0.86656,0.93718,0.008416,0.008416,0.008416
18,1194.15,1.67667,0.85014,0.9322,0.60782,0.29046,0.44372,0.22981,1.75016,0.85914,0.92838,0.008317,0.008317,0.008317
19,1259.23,1.66995,0.84647,0.93168,0.62832,0.29586,0.45414,0.24192,1.69619,0.84432,0.92267,0.008218,0.008218,0.008218
20,1324.6,1.66131,0.84414,0.93107,0.61955,0.29715,0.4507,0.23333,1.73912,0.84612,0.93194,0.008119,0.008119,0.008119
21,1389.45,1.66264,0.84545,0.93111,0.6217,0.30244,0.45925,0.24799,1.66712,0.83253,0.91376,0.00802,0.00802,0.00802
22,1454.75,1.65187,0.84069,0.92783,0.62089,0.29554,0.45319,0.23885,1.71462,0.84769,0.9308,0.007921,0.007921,0.007921
23,1519.74,1.64457,0.83712,0.92606,0.61912,0.298,0.4531,0.23699,1.70654,0.83794,0.92201,0.007822,0.007822,0.007822
24,1584.76,1.63547,0.83476,0.92673,0.63378,0.30527,0.46411,0.25039,1.65222,0.8209,0.91145,0.007723,0.007723,0.007723
25,1650.21,1.63228,0.83276,0.92502,0.62213,0.29995,0.45963,0.24151,1.72413,0.85556,0.93221,0.007624,0.007624,0.007624
26,1715.32,1.61573,0.82524,0.92148,0.63475,0.30463,0.46584,0.25113,1.65514,0.81758,0.91726,0.007525,0.007525,0.007525
27,1780.84,1.61597,0.82545,0.92173,0.62063,0.29914,0.45501,0.24183,1.68115,0.8319,0.92149,0.007426,0.007426,0.007426
28,1845.84,1.61364,0.82455,0.92008,0.62472,0.29903,0.45564,0.23912,1.70006,0.83278,0.92706,0.007327,0.007327,0.007327
29,1911.22,1.60171,0.82205,0.91938,0.64388,0.30986,0.47257,0.25976,1.61402,0.80029,0.90658,0.007228,0.007228,0.007228
30,1977.03,1.59501,0.81784,0.92036,0.63795,0.30899,0.47222,0.26149,1.60439,0.80527,0.9061,0.007129,0.007129,0.007129
31,2043.51,1.5974,0.81876,0.9191,0.63731,0.30349,0.46358,0.2523,1.62892,0.81061,0.91199,0.00703,0.00703,0.00703
32,2108.57,1.59086,0.81499,0.91783,0.63799,0.30525,0.46754,0.25311,1.6445,0.81514,0.9167,0.006931,0.006931,0.006931
33,2173.72,1.58666,0.8139,0.91906,0.64049,0.30679,0.46966,0.2574,1.62198,0.80663,0.91296,0.006832,0.006832,0.006832
34,2238.93,1.57786,0.81291,0.91558,0.64244,0.30858,0.47117,0.25961,1.60694,0.79659,0.90556,0.006733,0.006733,0.006733
35,2304.07,1.57267,0.80785,0.9144,0.64061,0.30606,0.46996,0.25813,1.61009,0.80359,0.90926,0.006634,0.006634,0.006634
36,2369.46,1.57111,0.80855,0.91479,0.63196,0.3062,0.46939,0.25769,1.61258,0.80317,0.90917,0.006535,0.006535,0.006535
37,2434.79,1.57146,0.80781,0.91391,0.63711,0.30749,0.4707,0.26535,1.56753,0.78984,0.9008,0.006436,0.006436,0.006436
38,2501.28,1.56391,0.80762,0.91418,0.6395,0.30758,0.46897,0.25459,1.62675,0.8052,0.91204,0.006337,0.006337,0.006337
39,2566.82,1.56185,0.80592,0.91444,0.63508,0.30681,0.47018,0.25911,1.60158,0.80225,0.90731,0.006238,0.006238,0.006238
40,2632.18,1.55781,0.80318,0.9139,0.63382,0.30625,0.46806,0.26083,1.59138,0.79912,0.90421,0.006139,0.006139,0.006139
41,2697.81,1.55418,0.80373,0.91469,0.64819,0.31196,0.47548,0.26495,1.57818,0.79241,0.90289,0.00604,0.00604,0.00604
42,2762.79,1.55273,0.80226,0.91123,0.64713,0.31106,0.47518,0.26209,1.59587,0.79112,0.90699,0.005941,0.005941,0.005941
43,2827.8,1.54002,0.7958,0.9109,0.64275,0.30659,0.46914,0.25672,1.61193,0.79986,0.90909,0.005842,0.005842,0.005842
44,2893.1,1.54591,0.79814,0.91069,0.64884,0.31315,0.47932,0.26909,1.56565,0.78373,0.9026,0.005743,0.005743,0.005743
45,2958.85,1.53858,0.79595,0.91148,0.65141,0.31145,0.47605,0.2654,1.57296,0.78215,0.90469,0.005644,0.005644,0.005644
46,3023.96,1.5329,0.79246,0.90991,0.63761,0.30799,0.47071,0.25945,1.59389,0.79758,0.90578,0.005545,0.005545,0.005545
47,3089.12,1.53439,0.79505,0.91125,0.64819,0.312,0.47865,0.26982,1.5515,0.77785,0.89943,0.005446,0.005446,0.005446
48,3155.07,1.53059,0.79198,0.90944,0.64776,0.31128,0.4778,0.26635,1.57713,0.78728,0.90566,0.005347,0.005347,0.005347
49,3220.07,1.53374,0.7946,0.91072,0.64082,0.30922,0.47429,0.26582,1.56708,0.78864,0.90297,0.005248,0.005248,0.005248
50,3285.18,1.52419,0.78944,0.90825,0.64565,0.31262,0.4793,0.26806,1.55921,0.78391,0.90136,0.005149,0.005149,0.005149
51,3350.04,1.52319,0.78898,0.90893,0.64762,0.31202,0.47877,0.26822,1.56141,0.78269,0.90181,0.00505,0.00505,0.00505
52,3414.98,1.51468,0.78341,0.90775,0.6508,0.31288,0.48013,0.27306,1.53741,0.77539,0.89829,0.004951,0.004951,0.004951
53,3480.28,1.51531,0.78597,0.90709,0.64763,0.31306,0.48003,0.27055,1.54996,0.77982,0.90142,0.004852,0.004852,0.004852
54,3545.23,1.51502,0.78321,0.90767,0.64592,0.31355,0.47981,0.27199,1.54945,0.78069,0.89894,0.004753,0.004753,0.004753
55,3610.16,1.52003,0.7867,0.90555,0.65373,0.31289,0.48094,0.27212,1.54976,0.77757,0.89825,0.004654,0.004654,0.004654
56,3675.09,1.51218,0.78066,0.90537,0.65275,0.31364,0.48225,0.27309,1.55168,0.77725,0.89823,0.004555,0.004555,0.004555
57,3740.67,1.5173,0.78508,0.90673,0.65444,0.31371,0.4815,0.27284,1.55486,0.77555,0.90077,0.004456,0.004456,0.004456
58,3805.73,1.51408,0.78028,0.90464,0.64965,0.31062,0.47785,0.27164,1.55272,0.77503,0.89965,0.004357,0.004357,0.004357
59,3870.89,1.51241,0.78124,0.90545,0.65019,0.31322,0.4805,0.27282,1.55321,0.77683,0.90033,0.004258,0.004258,0.004258
60,3935.92,1.51124,0.7794,0.90479,0.65282,0.31346,0.48154,0.27575,1.53242,0.76867,0.89652,0.004159,0.004159,0.004159
61,4001.28,1.51083,0.77706,0.9048,0.65444,0.31343,0.48083,0.27201,1.56023,0.77192,0.903,0.00406,0.00406,0.00406
62,4066.14,1.50734,0.77872,0.90501,0.649,0.31263,0.47954,0.2708,1.56279,0.77824,0.90369,0.003961,0.003961,0.003961
63,4131.09,1.50838,0.77645,0.90403,0.655,0.31597,0.48486,0.2784,1.52725,0.76523,0.89697,0.003862,0.003862,0.003862
64,4196.51,1.50145,0.77372,0.90293,0.65094,0.31432,0.48175,0.27261,1.55438,0.77293,0.90308,0.003763,0.003763,0.003763
65,4261.59,1.50126,0.77086,0.9025,0.65053,0.3142,0.48168,0.27108,1.55959,0.7753,0.90285,0.003664,0.003664,0.003664
66,4326.95,1.5002,0.77366,0.90268,0.65684,0.31543,0.48369,0.2754,1.53869,0.76713,0.89872,0.003565,0.003565,0.003565
67,4392.43,1.49536,0.7705,0.902,0.65379,0.31548,0.48361,0.27432,1.54536,0.76923,0.89986,0.003466,0.003466,0.003466
68,4457.79,1.4908,0.76867,0.90095,0.65511,0.31614,0.48422,0.27555,1.54315,0.76617,0.89893,0.003367,0.003367,0.003367
69,4523.21,1.48905,0.76847,0.90131,0.65732,0.31616,0.48571,0.27759,1.53475,0.76416,0.89822,0.003268,0.003268,0.003268
70,4588.26,1.48861,0.76869,0.90057,0.65317,0.31616,0.48511,0.2788,1.52642,0.76498,0.89703,0.003169,0.003169,0.003169
71,4653.86,1.48507,0.76712,0.89897,0.65416,0.3173,0.48657,0.27866,1.53051,0.76454,0.89794,0.00307,0.00307,0.00307
72,4718.87,1.48493,0.76582,0.89894,0.65713,0.31752,0.48694,0.28076,1.51755,0.76025,0.89466,0.002971,0.002971,0.002971
73,4784.47,1.47873,0.76353,0.89803,0.6588,0.31778,0.48785,0.27907,1.52621,0.7633,0.89745,0.002872,0.002872,0.002872
74,4849.81,1.46909,0.75884,0.8985,0.65673,0.31898,0.48875,0.28011,1.52281,0.76221,0.89701,0.002773,0.002773,0.002773
75,4915.02,1.47077,0.75889,0.89622,0.65839,0.31807,0.48827,0.2784,1.5322,0.76557,0.89926,0.002674,0.002674,0.002674
76,4981.59,1.46882,0.75681,0.89599,0.65982,0.31897,0.48925,0.28002,1.5231,0.76192,0.89697,0.002575,0.002575,0.002575
77,5047.17,1.46533,0.75703,0.8963,0.66151,0.32072,0.49159,0.28236,1.51396,0.75821,0.89391,0.002476,0.002476,0.002476
78,5112.79,1.46456,0.75617,0.89645,0.66209,0.3209,0.49193,0.28339,1.50936,0.75499,0.89225,0.002377,0.002377,0.002377
79,5178.14,1.45948,0.75497,0.89524,0.66125,0.32008,0.49062,0.28182,1.51452,0.75818,0.89417,0.002278,0.002278,0.002278
80,5243.2,1.46155,0.75527,0.8948,0.66189,0.32018,0.49052,0.28112,1.51859,0.75815,0.89541,0.002179,0.002179,0.002179
81,5308.36,1.45649,0.7541,0.89611,0.66117,0.32064,0.4912,0.28198,1.51672,0.75766,0.89502,0.00208,0.00208,0.00208
82,5373.68,1.45175,0.751,0.89416,0.66029,0.32106,0.49182,0.28251,1.51522,0.75692,0.89491,0.001981,0.001981,0.001981
83,5438.83,1.44731,0.74811,0.89239,0.66298,0.32113,0.49237,0.28446,1.50555,0.75522,0.89355,0.001882,0.001882,0.001882
84,5504.43,1.4482,0.74886,0.8938,0.66436,0.32093,0.49226,0.28464,1.50439,0.75487,0.89401,0.001783,0.001783,0.001783
85,5570.1,1.44362,0.74787,0.89365,0.66372,0.32166,0.49301,0.28604,1.49755,0.75329,0.89261,0.001684,0.001684,0.001684
86,5635.74,1.44201,0.74535,0.8923,0.66312,0.32143,0.49246,0.28515,1.50154,0.75418,0.89336,0.001585,0.001585,0.001585
87,5700.59,1.43345,0.74301,0.89268,0.66282,0.32091,0.49209,0.28428,1.50684,0.75619,0.89489,0.001486,0.001486,0.001486
88,5765.69,1.43853,0.74452,0.89217,0.66501,0.32066,0.49261,0.28352,1.51379,0.75754,0.89607,0.001387,0.001387,0.001387
89,5830.8,1.43483,0.74178,0.89234,0.66349,0.32155,0.49292,0.28368,1.51333,0.75668,0.8959,0.001288,0.001288,0.001288
90,5896.39,1.43184,0.74213,0.88973,0.66365,0.32093,0.49224,0.2823,1.51944,0.75875,0.89734,0.001189,0.001189,0.001189
91,5968.16,1.43696,0.74543,0.88804,0.66411,0.32087,0.49145,0.28182,1.51952,0.76174,0.89652,0.00109,0.00109,0.00109
92,6033.13,1.41719,0.7355,0.88581,0.6631,0.32089,0.49147,0.2827,1.51449,0.76242,0.89616,0.000991,0.000991,0.000991
93,6098.24,1.41187,0.73287,0.88571,0.6629,0.32029,0.49084,0.28217,1.51335,0.76282,0.89672,0.000892,0.000892,0.000892
94,6163.21,1.40926,0.72968,0.88528,0.66225,0.32039,0.49084,0.28221,1.51303,0.76352,0.89662,0.000793,0.000793,0.000793
95,6228.17,1.4032,0.72778,0.88414,0.66145,0.32042,0.49081,0.28257,1.51111,0.76332,0.89643,0.000694,0.000694,0.000694
96,6292.95,1.39976,0.72563,0.88293,0.65983,0.32087,0.49106,0.28303,1.50921,0.76279,0.896,0.000595,0.000595,0.000595
97,6358.33,1.39434,0.72336,0.88355,0.66148,0.32054,0.4912,0.2831,1.50866,0.76246,0.89622,0.000496,0.000496,0.000496
98,6423.45,1.39139,0.72207,0.88216,0.66124,0.32053,0.49108,0.28277,1.50981,0.76264,0.89645,0.000397,0.000397,0.000397
99,6488.45,1.3889,0.72172,0.88053,0.66144,0.32092,0.49147,0.28364,1.5058,0.76104,0.89579,0.000298,0.000298,0.000298
100,6553.32,1.38416,0.71927,0.88202,0.66183,0.32093,0.49159,0.28385,1.50479,0.7608,0.89553,0.000199,0.000199,0.000199
